age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
50,0,2,1,0,802,1,1,5,5,1.67,2,-1,0,1,0
20,10,2,2,0,0,1,0,5,5,2.08,2,-1,0,1,0
20,1,1,1,0,94,1,0,5,5,3.22,1,-1,0,1,0
30,9,2,1,0,0,1,0,5,5,2.27,1,-1,0,1,0
30,1,1,1,0,517,1,0,5,5,8.8,1,-1,0,1,0
40,1,1,1,0,265,1,0,5,5,9.02,1,-1,0,1,0
50,3,0,0,0,947,1,0,5,5,2.72,1,-1,0,1,0
30,6,2,1,0,3,1,0,5,5,5.02,1,-1,0,1,0
50,10,1,2,0,42,0,0,5,5,0.77,1,-1,0,1,0
30,1,1,1,0,37,1,0,5,5,3.4,1,-1,0,1,0
50,1,1,1,0,57,1,0,5,5,1.63,1,-1,0,1,0
30,7,1,1,0,22,1,0,5,5,1.18,1,-1,0,1,0
50,1,0,0,0,8,1,0,5,5,2.62,2,-1,0,1,0
40,10,1,1,0,293,1,0,5,5,4.05,1,-1,0,1,0
40,7,1,0,0,3,1,0,5,5,3.1,2,-1,0,1,0
50,1,1,0,0,348,1,0,5,5,9.65,2,-1,0,1,0
20,8,2,1,0,0,1,0,5,5,10.17,2,-1,0,1,0
40,4,1,2,0,-4,1,0,5,5,33.88,1,-1,0,1,0
30,4,1,1,0,18,1,0,5,5,1.42,1,-1,0,1,0
50,9,1,0,0,139,0,0,5,5,1.9,2,-1,0,1,0
40,7,1,1,0,0,1,0,5,5,1.9,2,-1,0,1,0
60,5,0,1,0,216,1,0,5,5,3.97,1,-1,0,1,0
50,1,1,1,0,782,1,0,5,5,1.55,3,-1,0,1,0
40,1,1,1,0,904,1,0,5,5,2.13,2,-1,0,1,0
30,9,2,2,0,47,1,0,5,5,3.02,1,-1,0,1,0
40,7,2,1,0,176,1,0,5,5,5.05,2,-1,0,1,0
40,1,1,1,0,1225,1,0,5,5,9.3,5,-1,0,1,0
40,9,1,1,0,86,1,0,5,5,4.5,1,-1,0,1,0
20,0,2,1,0,82,1,0,5,5,3.8,1,-1,0,1,0
50,4,1,2,0,271,1,0,5,5,1.65,1,-1,0,1,0
50,9,1,1,0,1378,1,0,5,5,4,1,-1,0,1,0
50,0,1,2,0,184,0,0,5,5,11.22,2,-1,0,1,1
50,1,1,0,0,0,0,0,5,5,3.88,3,-1,0,1,0
30,1,1,1,0,0,1,0,5,5,17.6,1,-1,0,1,0
40,7,1,1,0,1357,1,1,5,5,4.17,1,-1,0,1,0
30,5,2,0,0,434,0,0,5,5,2.3,1,-1,0,1,0
60,0,0,1,0,92,1,0,5,5,2.17,1,-1,0,1,0
50,0,0,1,0,1151,1,0,5,5,6.87,1,-1,0,1,0
40,10,1,1,0,41,1,0,5,5,2.98,2,-1,0,1,0
30,9,1,1,0,51,1,0,5,5,0.32,2,-1,0,1,0
50,7,1,1,0,214,1,0,5,5,7.63,2,-1,0,1,0
50,4,1,1,0,1161,1,0,5,5,11.95,1,-1,0,1,0
30,7,1,2,0,37,1,0,5,5,5.22,1,-1,0,1,0
30,9,0,1,0,787,1,0,5,5,11.38,2,-1,0,1,0
30,7,1,1,0,59,1,0,5,5,17.95,1,-1,0,1,0
30,9,1,1,0,253,1,0,5,5,6.93,1,-1,0,1,0
30,0,1,2,0,211,1,0,5,5,2.43,2,-1,0,1,0
50,5,1,0,0,235,1,0,5,5,2.78,1,-1,0,1,0
50,4,1,1,0,4080,0,0,5,5,2.33,1,-1,0,1,0
30,1,2,1,0,53,1,1,5,5,5.77,1,-1,0,1,0
30,4,2,2,0,0,1,0,5,5,9.37,1,-1,0,1,0
50,5,1,1,0,2127,1,0,5,5,2.87,1,-1,0,1,0
30,4,1,2,0,377,1,0,5,5,3.62,1,-1,0,1,0
50,4,1,2,0,73,1,0,5,5,2.37,2,-1,0,1,0
40,0,1,1,0,445,1,0,5,5,1.12,1,-1,0,1,0
30,1,1,1,0,243,1,0,5,5,4.85,1,-1,0,1,0
30,1,2,1,0,307,1,0,5,5,5.15,2,-1,0,1,0
30,7,1,1,0,155,1,0,5,5,4.13,1,-1,0,1,0
50,9,0,2,0,173,0,1,5,5,1.63,1,-1,0,1,0
40,4,1,2,0,400,1,0,5,5,4.27,1,-1,0,1,0
60,1,0,0,0,1428,1,0,5,5,1.37,2,-1,0,1,0
40,0,1,1,0,219,1,0,5,5,9.62,1,-1,0,1,0
40,6,1,2,0,7,1,0,5,5,4.77,1,-1,0,1,0
40,1,1,1,0,575,1,0,5,5,7.95,1,-1,0,1,0
30,7,1,1,0,0,1,0,5,5,7.85,1,-1,0,1,0
50,7,1,1,0,5699,1,0,5,5,6.35,2,-1,0,1,0
40,4,1,2,0,176,1,1,5,5,0.7,1,-1,0,1,0
40,4,1,2,0,517,1,0,5,5,4.18,1,-1,0,1,0
40,5,1,1,0,56,1,0,5,5,3.58,1,-1,0,1,0
30,1,1,1,0,-390,1,0,5,5,4.78,1,-1,0,1,0
50,5,1,1,0,330,1,0,5,5,3.6,2,-1,0,1,0
50,3,0,0,0,195,0,0,5,5,6.1,2,-1,0,1,0
30,7,1,1,0,301,1,0,5,5,3.5,1,-1,0,1,0
50,1,1,0,0,-41,1,0,5,5,4.8,1,-1,0,1,0
40,9,1,2,0,483,1,0,5,5,2.8,1,-1,0,1,0
40,3,1,0,0,965,0,0,5,5,2.95,1,-1,0,1,0
30,4,1,2,0,378,1,1,5,5,2.12,2,-1,0,1,0
40,10,1,1,0,219,1,0,5,5,5.95,1,-1,0,1,0
20,1,1,0,0,324,1,0,5,5,2.92,1,-1,0,1,0
30,2,0,1,0,-69,1,0,5,5,5,1,-1,0,1,0
50,5,1,1,0,0,0,1,5,5,2.27,1,-1,0,1,0
40,1,1,0,0,278,1,0,5,5,2.08,2,-1,0,1,0
30,4,2,2,0,34,1,0,5,5,0.45,1,-1,0,1,0
50,7,0,1,0,1467,1,0,5,5,2.07,1,-1,0,1,0
40,1,1,0,0,-12,1,0,5,5,0.3,1,-1,0,1,0
30,7,1,1,0,388,1,0,5,5,12.17,2,-1,0,1,0
50,2,1,1,0,294,1,0,5,5,12.43,2,-1,0,1,0
50,1,1,0,0,627,1,0,5,5,4.12,1,-1,0,1,0
40,1,1,0,0,25,1,0,5,5,0.67,1,-1,0,1,0
50,0,0,1,0,315,1,0,5,5,3.02,2,-1,0,1,0
30,1,1,0,0,0,1,0,5,5,1.32,1,-1,0,1,0
40,0,0,1,0,66,1,0,5,5,3.43,1,-1,0,1,0
40,1,0,0,0,-9,1,1,5,5,6.48,1,-1,0,1,0
40,9,1,1,0,349,1,1,5,5,2.12,1,-1,0,1,0
30,0,1,1,0,0,0,0,5,5,2.52,1,-1,0,1,0
40,9,1,1,0,434,1,0,5,5,1.95,1,-1,0,1,0
40,4,1,2,0,3237,1,0,5,5,3.87,3,-1,0,1,0
20,1,2,1,0,0,1,0,5,5,2.98,2,-1,0,1,0
40,4,1,2,0,207,1,0,5,5,0.65,1,-1,0,1,0
30,1,1,1,0,483,1,0,5,5,4.7,1,-1,0,1,0
50,7,1,1,0,2248,1,0,5,5,11.9,2,-1,0,1,0
40,0,1,1,0,428,1,0,5,5,0.83,1,-1,0,1,0
50,1,1,1,0,0,1,1,5,5,3.02,1,-1,0,1,0
30,7,2,1,0,0,1,0,5,5,2.37,1,-1,0,1,0
30,9,0,1,0,140,1,0,5,5,3.78,1,-1,0,1,0
50,4,2,2,0,297,1,0,5,5,1.98,1,-1,0,1,0
30,1,1,0,0,279,1,0,5,5,6.02,1,-1,0,1,0
50,2,0,1,0,901,1,0,5,5,1.22,3,-1,0,1,0
30,9,2,1,0,2573,1,0,5,5,1.12,2,-1,0,1,0
30,7,1,1,0,143,1,1,5,5,5.83,1,-1,0,1,0
40,1,1,1,0,475,1,0,5,5,5.53,2,-1,0,1,0
50,1,1,1,0,70,1,0,5,5,10.18,2,-1,0,1,0
30,4,2,2,0,318,1,0,5,5,1.88,2,-1,0,1,0
30,9,1,1,0,275,1,0,5,5,2.2,1,-1,0,1,0
40,4,0,2,0,742,1,0,5,5,0.97,3,-1,0,1,0
40,2,1,0,0,236,1,0,5,5,2.52,1,-1,0,1,0
30,8,2,2,0,25,1,0,5,5,1.48,2,-1,0,1,0
30,4,2,2,0,600,1,0,5,5,2.53,1,-1,0,1,0
30,0,0,1,0,-349,1,0,5,5,10.18,2,-1,0,1,0
40,1,1,0,0,183,1,1,5,5,1.83,2,-1,0,1,0
40,1,1,0,0,0,1,0,5,5,7.72,1,-1,0,1,0
40,4,2,2,0,0,1,1,5,5,9.37,2,-1,0,1,1
40,1,0,0,0,0,1,0,5,5,16.03,1,-1,0,1,0
50,9,1,1,0,1078,1,0,5,5,0.17,4,-1,0,1,0
50,2,0,1,0,155,0,0,5,5,1.97,3,-1,0,1,0
30,0,1,1,0,190,1,0,5,5,1.53,2,-1,0,1,0
50,5,1,1,0,319,1,0,5,5,2.38,3,-1,0,1,0
30,7,0,1,0,-185,1,0,5,5,3.15,3,-1,0,1,0
40,7,1,1,0,47,0,0,5,5,3.9,2,-1,0,1,0
30,7,2,1,0,570,1,0,5,5,1.25,2,-1,0,1,0
30,6,1,2,0,19,0,0,5,5,3.15,2,-1,0,1,0
50,1,1,0,0,61,1,0,5,5,10.35,3,-1,0,1,0
40,0,1,1,0,-62,1,1,5,5,0.92,2,-1,0,1,0
50,9,1,2,0,258,0,0,5,5,5.17,4,-1,0,1,0
50,1,1,0,0,76,1,0,5,5,2.6,2,-1,0,1,0
30,0,2,1,0,352,1,0,5,5,3.75,2,-1,0,1,0
40,0,1,1,0,368,1,0,5,5,2.08,2,-1,0,1,0
30,1,1,1,0,1331,1,0,5,5,4.77,2,-1,0,1,0
40,6,1,1,0,672,1,0,5,5,2.73,2,-1,0,1,0
30,4,1,2,0,58,1,0,5,5,1.63,2,-1,0,1,0
20,8,2,1,0,423,1,0,5,5,3.77,3,-1,0,1,0
50,4,1,2,0,0,0,0,5,5,2,2,-1,0,1,0
30,9,1,1,0,19,1,0,5,5,6.03,4,-1,0,1,0
50,9,0,0,0,13,1,0,5,5,5.95,2,-1,0,1,0
30,1,2,1,0,3,1,0,5,5,3.33,2,-1,0,1,0
20,8,2,1,0,82,1,0,5,5,3.4,2,-1,0,1,0
40,1,0,0,0,28,1,0,5,5,2.1,3,-1,0,1,0
50,9,1,1,0,792,1,0,5,5,1.08,2,-1,0,1,0
50,0,1,1,0,531,1,0,5,5,4.45,2,-1,0,1,0
50,5,1,1,0,211,1,0,5,5,4.13,2,-1,0,1,0
30,7,2,1,0,62,1,0,5,5,3.58,2,-1,0,1,0
50,9,1,1,0,1234,1,0,5,5,3.42,2,-1,0,1,0
50,4,1,2,0,313,1,0,5,5,1.38,2,-1,0,1,0
50,1,1,1,0,89,1,0,5,5,1.77,3,-1,0,1,0
40,1,1,1,0,129,1,1,5,5,3.15,2,-1,0,1,0
50,0,1,1,0,353,1,0,5,5,1.77,2,-1,0,1,0
50,7,0,0,0,96,1,1,5,5,5.18,2,-1,0,1,0
30,7,0,1,0,398,1,1,5,5,3.57,2,-1,0,1,0
30,0,2,2,0,193,0,0,5,5,2.2,2,-1,0,1,0
40,0,1,1,0,-358,1,0,5,5,5.97,2,-1,0,1,0
30,1,1,1,0,539,1,1,5,5,7.55,2,-1,0,1,0
50,9,2,1,0,0,1,0,5,5,6.07,2,-1,0,1,0
40,5,2,0,0,0,0,0,5,5,2.27,2,-1,0,1,0
40,1,1,1,0,490,1,0,5,5,6.43,2,-1,0,1,0
50,1,1,1,0,0,1,0,5,5,2.88,2,-1,0,1,0
40,4,1,1,0,161,1,0,5,5,3.73,3,-1,0,1,0
30,9,0,2,0,2558,0,0,5,5,2.47,2,-1,0,1,0
30,0,2,1,0,98,1,0,5,5,3.27,2,-1,0,1,0
50,4,2,2,0,115,0,0,5,5,1.85,4,-1,0,1,0
40,1,2,1,0,436,1,0,5,5,3.85,3,-1,0,1,0
40,9,1,2,0,831,1,0,5,5,5.27,3,-1,0,1,0
40,1,1,1,0,290,1,0,5,5,4,2,-1,0,1,0
40,1,1,1,0,1,0,0,5,5,11.15,3,-1,0,1,0
30,1,2,1,0,-457,1,0,5,5,2.38,2,-1,0,1,0
50,4,2,2,0,1387,1,0,5,5,2.9,5,-1,0,1,0
40,1,1,1,0,30,1,0,5,5,2.25,4,-1,0,1,0
40,0,2,1,0,1022,1,0,5,5,2.43,2,-1,0,1,0
50,9,1,1,0,56,1,1,5,5,2.53,2,-1,0,1,0
50,0,2,1,1,-2,0,0,5,5,6.7,3,-1,0,1,0
30,7,2,1,0,121,1,0,5,5,3.55,2,-1,0,1,0
40,1,2,1,0,842,1,0,5,5,2.4,3,-1,0,1,0
40,4,0,1,0,693,1,0,5,5,2.07,3,-1,0,1,0
40,1,0,1,0,-333,1,0,5,5,3.05,2,-1,0,1,0
50,1,1,0,0,1533,1,0,5,5,5.42,2,-1,0,1,0
30,4,1,2,0,46,1,0,5,5,0.65,4,-1,0,1,0
40,9,1,1,0,44,1,0,5,5,1.58,4,-1,0,1,0
30,1,1,0,0,-100,1,0,5,5,11.33,2,-1,0,1,0
40,7,1,2,0,510,1,0,5,5,7.02,4,-1,0,1,0
50,4,1,2,0,685,1,0,5,5,2.9,3,-1,0,1,0
40,4,2,2,0,187,1,0,5,5,1.88,2,-1,0,1,0
40,1,1,1,0,66,1,0,5,5,13.47,2,-1,0,1,0
30,0,1,1,0,560,1,0,5,5,3.3,3,-1,0,1,0
30,1,1,1,0,0,1,0,5,5,3.25,2,-1,0,1,0
30,0,2,1,0,12,1,0,5,5,3.47,2,-1,0,1,0
40,1,2,1,0,34,1,0,5,5,6.73,4,-1,0,1,0
30,2,2,2,0,1068,1,0,5,5,6.6,2,-1,0,1,0
40,1,1,1,0,211,1,0,5,5,3.6,4,-1,0,1,0
40,0,2,2,0,377,1,0,5,5,1.63,2,-1,0,1,0
40,4,1,2,0,263,1,0,5,5,5.83,2,-1,0,1,0
40,7,1,1,0,1263,1,0,6,5,1.9,2,-1,0,1,0
20,7,1,1,0,8,1,0,6,5,1.47,3,-1,0,1,0
40,0,1,1,0,126,1,1,6,5,6.32,2,-1,0,1,0
50,0,1,1,0,230,1,0,6,5,3.17,3,-1,0,1,0
40,9,1,2,0,841,1,0,6,5,2.63,1,-1,0,1,0
30,0,0,1,0,308,1,0,6,5,1.7,1,-1,0,1,0
40,4,0,2,0,1,1,0,6,5,5.1,1,-1,0,1,0
30,0,0,2,0,86,1,0,6,5,3.63,1,-1,0,1,0
20,8,2,1,0,157,1,0,6,5,0.9,1,-1,0,1,0
30,7,1,1,0,22,1,0,6,5,5.73,1,-1,0,1,0
30,0,1,1,0,46,1,1,6,5,3.25,1,-1,0,1,0
30,1,1,1,0,1293,0,0,6,5,10.87,1,-1,0,1,0
20,0,2,1,0,122,1,0,6,5,4.77,1,-1,0,1,0
40,1,2,1,0,143,1,0,6,5,1.38,1,-1,0,1,0
30,0,2,1,0,393,0,0,6,5,3.07,2,-1,0,1,0
40,1,1,0,0,98,1,0,6,5,3.92,1,-1,0,1,0
30,4,1,2,0,0,1,0,6,5,4.83,1,-1,0,1,0
50,1,1,1,0,224,1,0,6,5,3.87,1,-1,0,1,0
30,1,1,1,0,757,1,0,6,5,2.22,1,-1,0,1,0
40,7,1,1,0,245,1,1,6,5,5.3,1,-1,0,1,0
40,4,1,1,0,8486,0,0,6,5,4.33,3,-1,0,1,0
30,1,1,1,0,20,1,0,6,5,6.7,1,-1,0,1,0
50,7,1,1,0,1667,1,1,6,5,1.42,1,-1,0,1,0
30,10,1,1,0,10,1,0,6,5,8.35,4,-1,0,1,0
50,4,1,2,0,830,1,1,6,5,20.02,1,-1,0,1,1
60,5,0,1,0,545,1,0,6,5,17.17,1,-1,0,1,1
30,9,1,2,0,8730,1,0,6,5,2.48,1,-1,0,1,0
40,9,0,2,0,477,1,0,6,5,1.9,1,-1,0,1,0
20,0,1,1,0,4,1,0,6,5,4.05,1,-1,0,1,0
40,1,1,1,0,1205,1,0,6,5,12.82,2,-1,0,1,0
30,9,2,1,0,0,1,1,6,5,2.25,3,-1,0,1,0
40,0,2,1,0,263,1,0,6,5,3.85,1,-1,0,1,0
30,0,1,1,0,1,0,0,6,5,1.27,1,-1,0,1,0
30,1,1,1,0,283,0,1,6,5,3.32,1,-1,0,1,0
40,1,1,0,0,206,1,0,6,5,2.53,1,-1,0,1,0
40,3,1,0,0,17,1,0,6,5,2.07,1,-1,0,1,0
40,9,1,1,0,141,1,1,6,5,7.07,1,-1,0,1,0
20,6,2,2,0,16,1,0,6,5,0.72,1,-1,0,1,0
50,7,1,1,0,206,1,0,6,5,2.57,1,-1,0,1,0
50,4,1,2,0,0,0,0,6,5,5.43,1,-1,0,1,0
50,5,1,2,0,0,0,0,6,5,6.55,1,-1,0,1,0
40,1,0,0,0,1927,1,0,6,5,4.02,3,-1,0,1,0
30,9,1,1,0,284,1,0,6,5,8.05,1,-1,0,1,0
40,1,1,1,0,1660,1,0,6,5,4.32,1,-1,0,1,0
30,7,2,1,0,406,1,0,6,5,3.78,1,-1,0,1,0
50,1,1,0,0,230,1,0,6,5,11.22,1,-1,0,1,0
30,0,2,1,0,-25,1,0,6,5,9.6,1,-1,0,1,0
40,0,1,1,0,182,1,0,6,5,3,2,-1,0,1,0
30,2,1,2,0,1169,1,0,6,5,2.8,2,-1,0,1,0
30,0,0,1,0,67,1,0,6,5,1.5,1,-1,0,1,0
40,9,1,1,0,77,0,0,6,5,8.42,1,-1,0,1,0
40,10,1,1,0,0,1,0,6,5,4.08,1,-1,0,1,0
50,1,0,0,0,55,1,1,6,5,3.1,1,-1,0,1,0
30,9,1,1,1,72,1,0,6,5,10.38,1,-1,0,1,0
40,4,2,2,0,163,1,0,6,5,8.27,3,-1,0,1,0
30,4,2,2,0,151,1,0,6,5,1.97,1,-1,0,1,0
30,0,2,1,0,113,1,0,6,5,5.7,1,-1,0,1,0
40,1,1,1,0,0,1,0,6,5,3.75,1,-1,0,1,0
30,9,2,2,0,9,1,0,6,5,3.08,3,-1,0,1,0
40,4,1,1,0,375,1,0,6,5,3.27,2,-1,0,1,0
30,7,1,1,0,1142,1,0,6,5,4.6,1,-1,0,1,0
50,1,1,0,0,2102,1,0,6,5,1.27,1,-1,0,1,0
30,9,2,2,0,4325,1,0,6,5,1.45,1,-1,0,1,0
40,1,1,1,0,217,1,0,6,5,3.25,1,-1,0,1,0
50,0,1,1,0,131,1,0,6,5,12.4,1,-1,0,1,0
40,4,1,2,0,1680,1,0,6,5,12.75,1,-1,0,1,0
30,1,1,1,0,0,1,0,6,5,4.37,1,-1,0,1,0
40,1,1,0,0,46,1,0,6,5,1.98,1,-1,0,1,0
30,1,1,1,0,320,1,0,6,5,3.3,2,-1,0,1,0
50,0,1,1,0,183,1,0,6,5,2.5,1,-1,0,1,0
40,1,1,1,0,39,0,0,6,5,4.02,1,-1,0,1,0
30,4,2,2,0,560,1,0,6,5,3.02,1,-1,0,1,0
50,9,0,1,0,469,0,0,6,5,3.27,1,-1,0,1,0
30,0,1,1,0,530,1,0,6,5,2.48,1,-1,0,1,0
40,7,1,0,0,61,1,0,6,5,4.1,1,-1,0,1,0
30,9,2,2,0,242,1,0,6,5,1.87,1,-1,0,1,0
30,1,1,1,0,139,1,0,6,5,5.15,2,-1,0,1,0
20,6,2,1,0,0,1,0,6,5,4.63,1,-1,0,1,0
